Macrotrends Data Download

Brazil Crime Rate & Statistics 1990-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.



date, Per 100K Population, Annual % Change, 
1990-12-31,19.6648
1991-12-31,18.5617,-5.61
1992-12-31,16.8332,-9.31
1993-12-31,17.8597,6.1
1994-12-31,18.7235,4.84
1995-12-31,20.9851,12.08
1996-12-31,23.6273,12.59
1997-12-31,24.2254,2.53
1998-12-31,24.7077,1.99
1999-12-31,24.9039,0.79
2000-12-31,25.9597,4.24
2001-12-31,27.0632,4.25
2002-12-31,27.6878,2.31
2003-12-31,28.0866,1.44
2004-12-31,26.3002,-6.36
2005-12-31,25.5702,-2.78
2006-12-31,26.1283,2.18
2007-12-31,25.1043,-3.92
2008-12-31,26.1079,4
2009-12-31,26.5418,1.66
2010-12-31,26.7171,0.66
2011-12-31,26.4451,-1.02
2012-12-31,28.2948,6.99
2013-12-31,28.276,-0.07
2014-12-31,29.4594,4.19
2015-12-31,28.4558,-3.41
2016-12-31,29.6891,4.33
2017-12-31,30.6918,3.38
2018-12-31,26.7247,-12.93
2019-12-31,20.8828,-21.86
2020-12-31,22.4511,7.51
