Macrotrends Data Download

France Crime Rate & Statistics 1990-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Per 100K Population, Annual % Change, 
1990-12-31,2.3912
1991-12-31,2.3808,-0.43
1992-12-31,2.3483,-1.37
1993-12-31,2.6477,12.75
1994-12-31,2.4415,-7.79
1995-12-31,2.3113,-5.33
1996-12-31,2.0185,-12.67
1997-12-31,1.6541,-18.05
1998-12-31,1.6443,-0.59
1999-12-31,1.6234,-1.27
2000-12-31,1.7809,9.7
2001-12-31,1.7631,-1
2002-12-31,1.8711,6.13
2003-12-31,1.6381,-12.45
2004-12-31,1.631,-0.43
2005-12-31,1.5969,-2.09
2006-12-31,1.4291,-10.51
2007-12-31,1.605,12.31
2008-12-31,1.6412,2.26
2009-12-31,1.3095,-20.21
2010-12-31,1.2659,-3.33
2011-12-31,1.354,6.96
2012-12-31,1.2334,-8.91
2013-12-31,1.2161,-1.4
2014-12-31,1.2338,1.46
2015-12-31,1.5701,27.26
2016-12-31,1.367,-12.94
2017-12-31,1.2538,-8.28
2018-12-31,1.1986,-4.4
2019-12-31,1.322,10.3
2020-12-31,1.3466,1.86
