Macrotrends Data Download

India Crime Rate & Statistics 1990-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Per 100K Population, Annual % Change, 
1990-12-31,5.057
1991-12-31,5.45,7.77
1992-12-31,5.4644,0.26
1993-12-31,5.17,-5.39
1994-12-31,5.0188,-2.92
1995-12-31,4.8122,-4.12
1996-12-31,4.7754,-0.76
1997-12-31,4.7375,-0.79
1998-12-31,4.835,2.06
1999-12-31,4.6029,-4.8
2000-12-31,4.5588,-0.96
2001-12-31,4.3181,-5.28
2002-12-31,4.1832,-3.12
2003-12-31,3.9883,-4.66
2004-12-31,4.1155,3.19
2005-12-31,3.9295,-4.52
2006-12-31,3.8577,-1.83
2007-12-31,3.8338,-0.62
2008-12-31,3.8311,-0.07
2009-12-31,3.7631,-1.77
2010-12-31,3.7641,0.03
2011-12-31,3.8103,1.23
2012-12-31,3.7509,-1.56
2013-12-31,3.5819,-4.51
2014-12-31,3.6551,2.04
2015-12-31,3.3869,-7.34
2016-12-31,3.1951,-5.66
2017-12-31,3.064,-4.1
2018-12-31,3.03,-1.11
2019-12-31,2.9624,-2.23
2020-12-31,2.9457,-0.56
