Macrotrends Data Download

Jamaica Crime Rate & Statistics 1990-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Per 100K Population, Annual % Change, 
1990-12-31,22.4803
1991-12-31,23.2031,3.22
1992-12-31,25.6801,10.68
1993-12-31,26.4431,2.97
1994-12-31,27.5802,4.3
1995-12-31,30.785,11.62
1996-12-31,36.1521,17.43
1997-12-31,40.1716,11.12
1998-12-31,32.9261,-18.04
1999-12-31,32.4385,-1.48
2000-12-31,33.4125,3
2001-12-31,42.5841,27.45
2002-12-31,38.8066,-8.87
2003-12-31,35.9853,-7.27
2004-12-31,53.9813,50.01
2005-12-31,61.0949,13.18
2006-12-31,48.6492,-20.37
2007-12-31,57.2207,17.62
2008-12-31,58.1983,1.71
2009-12-31,60.1966,3.43
2010-12-31,51.4862,-14.47
2011-12-31,40.093,-22.13
2012-12-31,38.7738,-3.29
2013-12-31,42.0469,8.44
2014-12-31,34.9549,-16.87
2015-12-31,41.8191,19.64
2016-12-31,46.5894,11.41
2017-12-31,56.3877,21.03
2018-12-31,43.9204,-22.11
2019-12-31,45.4503,3.48
2020-12-31,44.9486,-1.1
