Macrotrends Data Download

Japan Crime Rate & Statistics 1990-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Per 100K Population, Annual % Change, 
1990-12-31,0.5429
1991-12-31,0.5115,-5.78
1992-12-31,0.537,4.99
1993-12-31,0.5688,5.92
1994-12-31,0.5958,4.75
1995-12-31,0.5729,-3.84
1996-12-31,0.5148,-10.14
1997-12-31,0.5595,8.68
1998-12-31,0.6097,8.97
1999-12-31,0.578,-5.2
2000-12-31,0.5317,-8.01
2001-12-31,0.5458,2.65
2002-12-31,0.5176,-5.17
2003-12-31,0.5443,5.16
2004-12-31,0.5452,0.17
2005-12-31,0.5011,-8.09
2006-12-31,0.482,-3.81
2007-12-31,0.4467,-7.32
2008-12-31,0.5088,13.9
2009-12-31,0.3936,-22.64
2010-12-31,0.3617,-8.1
2011-12-31,0.344,-4.89
2012-12-31,0.3341,-2.88
2013-12-31,0.2884,-13.68
2014-12-31,0.3082,6.87
2015-12-31,0.2836,-7.98
2016-12-31,0.2833,-0.11
2017-12-31,0.24,-15.28
2018-12-31,0.2626,9.42
2019-12-31,0.2515,-4.23
2020-12-31,0.2514,-0.04
