Macrotrends Data Download

Mexico Crime Rate & Statistics 1990-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Per 100K Population, Annual % Change, 
1990-12-31,17.2653
1991-12-31,17.691,2.47
1992-12-31,19.0571,7.72
1993-12-31,18.0986,-5.03
1994-12-31,17.5684,-2.93
1995-12-31,17.0319,-3.05
1996-12-31,15.5722,-8.57
1997-12-31,14.3239,-8.02
1998-12-31,14.2167,-0.75
1999-12-31,12.565,-11.62
2000-12-31,10.8564,-13.6
2001-12-31,10.2544,-5.55
2002-12-31,9.9209,-3.25
2003-12-31,9.7855,-1.36
2004-12-31,8.926,-8.78
2005-12-31,9.359,4.85
2006-12-31,9.7174,3.83
2007-12-31,8.1222,-16.42
2008-12-31,12.6391,55.61
2009-12-31,17.6083,39.32
2010-12-31,22.5755,28.21
2011-12-31,23.5212,4.19
2012-12-31,22.1421,-5.86
2013-12-31,19.4089,-12.34
2014-12-31,16.6258,-14.34
2015-12-31,17.0378,2.48
2016-12-31,19.9127,16.87
2017-12-31,25.709,29.11
2018-12-31,29.0711,13.08
2019-12-31,28.7367,-1.15
2020-12-31,28.3706,-1.27
