Macrotrends Data Download

Philippines Crime Rate & Statistics 1990-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Per 100K Population, Annual % Change, 
1990-12-31,14.9947
1991-12-31,13.7216,-8.49
1992-12-31,12.7545,-7.05
1993-12-31,11.6497,-8.66
1994-12-31,9.4543,-18.85
1998-12-31,7.9186,-16.24
1999-12-31,7.4719,-5.64
2000-12-31,7.3533,-1.59
2001-12-31,7.345,-0.11
2002-12-31,8.0538,9.65
2007-12-31,6.6685,-17.2
2008-12-31,6.4025,-3.99
2009-12-31,9.834,53.6
2010-12-31,9.2001,-6.45
2011-12-31,8.8825,-3.45
2012-12-31,8.7273,-1.75
2016-12-31,10.7607,23.3
2017-12-31,7.8613,-26.94
2018-12-31,5.2986,-32.6
2019-12-31,4.4064,-16.84
