Macrotrends Data Download

Singapore Crime Rate & Statistics 1990-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Per 100K Population, Annual % Change, 
1990-12-31,1.5599
1991-12-31,1.6446,5.43
1992-12-31,1.3439,-18.28
1993-12-31,1.7545,30.55
1994-12-31,1.4346,-18.23
1995-12-31,1.5315,6.75
1996-12-31,0.907,-40.78
1997-12-31,1.0128,11.66
1998-12-31,1.0361,2.3
1999-12-31,0.9862,-4.82
2000-12-31,1.0177,3.19
2001-12-31,0.7849,-22.88
2002-12-31,0.7553,-3.77
2003-12-31,0.6539,-13.43
2004-12-31,0.4788,-26.78
2006-12-31,0.3862,-19.34
2007-12-31,0.3931,1.79
2008-12-31,0.5653,43.81
2009-12-31,0.4027,-28.76
2010-12-31,0.3703,-8.05
2011-12-31,0.304,-17.9
2012-12-31,0.2049,-32.6
2013-12-31,0.3117,52.12
2014-12-31,0.2534,-18.7
2015-12-31,0.2504,-1.18
2016-12-31,0.3184,27.16
2017-12-31,0.1927,-39.48
2018-12-31,0.1563,-18.89
2019-12-31,0.2067,32.25
2020-12-31,0.1709,-17.32
