Macrotrends Data Download

South Africa Crime Rate & Statistics 1994-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Per 100K Population, Annual % Change, 
1994-12-31,64.0099
1995-12-31,64.8643,1.33
1996-12-31,60.2969,-7.04
1997-12-31,56.9608,-5.53
1998-12-31,57.5222,0.99
1999-12-31,50.9805,-11.37
2000-12-31,48.3858,-5.09
2001-12-31,46.9704,-2.93
2002-12-31,46.7011,-0.57
2003-12-31,42.4322,-9.14
2004-12-31,39.7385,-6.35
2005-12-31,38.6963,-2.62
2006-12-31,39.4024,1.82
2007-12-31,37.4595,-4.93
2008-12-31,36.3282,-3.02
2009-12-31,33.2171,-8.56
2010-12-31,31.0307,-6.58
2011-12-31,29.9094,-3.61
2012-12-31,30.6875,2.6
2013-12-31,31.7078,3.32
2014-12-31,32.6433,2.95
2015-12-31,33.7141,3.28
2016-12-31,33.8317,0.35
2017-12-31,35.6711,5.44
2018-12-31,36.3992,2.04
2019-12-31,36.4167,0.05
2020-12-31,33.4622,-8.11
