Macrotrends Data Download

U.S. Crime Rate & Statistics 1990-2023


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Per 100K Population, Annual % Change, 
1990-12-31,9.2964
1991-12-31,9.705,4.4
1992-12-31,9.2455,-4.73
1993-12-31,9.4501,2.21
1994-12-31,8.8949,-5.88
1995-12-31,8.1482,-8.39
1996-12-31,7.3211,-10.15
1997-12-31,6.7012,-8.47
1998-12-31,6.1684,-7.95
1999-12-31,5.5725,-9.66
2000-12-31,5.5326,-0.72
2001-12-31,6.6874,20.87
2002-12-31,5.6492,-15.52
2006-12-31,5.8131,2.9
2007-12-31,5.6978,-1.98
2008-12-31,5.4253,-4.78
2009-12-31,5.0273,-7.34
2010-12-31,4.7642,-5.23
2011-12-31,4.7053,-1.24
2012-12-31,4.7305,0.54
2013-12-31,4.5256,-4.33
2014-12-31,4.4447,-1.79
2015-12-31,4.9499,11.37
2016-12-31,5.3908,8.91
2017-12-31,5.3198,-1.32
2018-12-31,5.0059,-5.9
2019-12-31,5.0656,1.19
2020-12-31,6.5166,28.64
